Medcode,ReadCode,Value,Rubric
40914,44AF.00,1,Brain natriuretic peptide level
40914,44AF.,1,Brain natriuretic peptide level
40914,44AF,1,Brain natriuretic peptide level
14143,44AR.,P,Plasma B natriuret peptide lev
14143,44AR,P,Plasma B natriuret peptide lev
14143,44AR.00,P,Plasma B natriuret peptide lev
27097,44AX.,S,Serum B-type natriuretic peptide concentration
27097,44AX,S,Serum B-type natriuretic peptide concentration
27097,44AX.00,S,Serum B-type natriuretic peptide concentration
14040,44AN.00,P,MSG:Plasma pro-brain natriuretic peptide level
14040,44AN.,P,MSG:Plasma pro-brain natriuretic peptide level
14040,44AN,P,MSG:Plasma pro-brain natriuretic peptide level
40914,44AP.,S,Serum pro-brain natriuretic peptide level
40914,44AP,S,Serum pro-brain natriuretic peptide level
40914,44AP.00,S,Serum pro-brain natriuretic peptide level
