Medcode	ReadCode	Value	Rubric
16881	ZV65312	1	[V]Dietary counselling in diabetes mellitus
711	Cyu2.00	1	[X]Diabetes mellitus
99628	Kyu0300	1	[X]Glomerular disorders in diabetes mellitus
41686	Cyu2000	1	[X]Other specified diabetes mellitus
100292	Cyu2300	1	[X]Unspecified diabetes mellitus with renal complications
48078	F3720	1	Acute painful diabetic neuropathy
48078	F3720.	1	Acute painful diabetic neuropathy
48078	F372000	1	Acute painful diabetic neuropathy
48078	F372000.	1	Acute painful diabetic neuropathy
18167	66AT	1	Annual diabetic blood test
18167	66AT.	1	Annual diabetic blood test
18167	66AT.00	1	Annual diabetic blood test
24571	F3722	1	Asymptomatic diabetic neuropathy
24571	F3722.	1	Asymptomatic diabetic neuropathy
24571	F372200	1	Asymptomatic diabetic neuropathy
24571	F372200.	1	Asymptomatic diabetic neuropathy
88597	7L1A400	1	Automated peritoneal dialysis
2478	66AJ1	1	Brittle diabetes
2478	66AJ100	1	Brittle diabetes
2478	66AJ100.	1	Brittle diabetes
22959	66AJ000	1	Chronic hyperglycaemia
22959	66AJ000.	1	Chronic hyperglycaemia
35785	F3721	1	Chronic painful diabetic neuropathy
35785	F372100	1	Chronic painful diabetic neuropathy
711	pm22.	1	ClikStar blue insulin pen 3ml/1-80 units [SANOFI/AVE]
711	CLRE44810NEMIS	1	ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi)
711	CLRE44811NEMIS	1	ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi)
711	pm23.	1	ClikStar silver insulin pen 3ml/1-80 units [SANOFI/AVE]
30756	7L1A500	1	Continuous ambulatory peritoneal dialysis
11047	66AH000	1	Conversion to insulin
107508	66AH200	1	Conversion to insulin by diabetes specialist nurse
107331	66AH100	1	Conversion to insulin in secondary care
93380	C10N100	1	Cystic fibrosis related diabetes mellitus
29041	66AN	1	Date diabetic treatment start
29041	66AN.	1	Date diabetic treatment start
29041	66AN.00	1	Date diabetic treatment start
55123	66AO.	1	Date diabetic treatment stopp.
55123	66AO	1	Date diabetic treatment stopp.
55123	66AO.00	1	Date diabetic treatment stopp.
101190	66AQ100	1	Declined consent for diabetes year of care programme
12307	66AU	1	Diabetes care by hospital only
12307	66AU.	1	Diabetes care by hospital only
12307	66AU.00	1	Diabetes care by hospital only
101177	OX250DC	1	Diabetes Dietary Control /ox
8836	66AR	1	Diabetes management plan given
8836	66AR.	1	Diabetes management plan given
8836	66AR.00	1	Diabetes management plan given
711	C10	1	Diabetes mellitus
711	C10..	1	Diabetes mellitus
