Medcode,ReadCode,Value,Rubric
100784,21264,0,Heart failure resolved
100784,21264.,0,Heart failure resolved
100784,2126400,0,Heart failure resolved
15058,14A6,0,h/o: heart failure
15058,14A6.,0,h/o: heart failure
15058,14A6.00,0,h/o: heart failure
46912,14AM,0,h/o: heart failure in last year
46912,14AM.,0,h/o: heart failure in last year
46912,14AM.00,0,h/o: heart failure in last year
9913,1O1,0,heart failure confirmed
9913,1O1.,0,heart failure confirmed
9913,1O1..,0,heart failure confirmed
9913,1O1..00 ,0,Heart failure confirmed
46672,388D,0,new york heart assoc classification heart failure symptoms
46672,388D.,0,new york heart assoc classification heart failure symptoms
46672,388D.00,0,new york heart assoc classification heart failure symptoms
11284,585f.,0,Echocardiogram shows left ventricular systolic dysfunction
11284,585f,0,Echocardiogram shows left ventricular systolic dysfunction
11284,585f.00,0,Echocardiogram shows left ventricular systolic dysfunction
106198,661M5,0,heart failure self-management plan agreed
106198,661M500,0,heart failure self-management plan agreed
18853,662f,0,NYHA classification - class I
18853,662f.,0,NYHA classification - class I
18853,662f.00,0,NYHA I
13189,662g,0,NYHA II
13189,662g.,0,NYHA II
13189,662g.00,0,NYHA II
19066,662h,0,NYHA III
19066,662h.,0,NYHA III
19066,662h.00,0,NYHA III
51214,662i,0,NYHA IV
51214,662i.,0,NYHA IV
51214,662i.00,0,NYHA IV
24503,8B29.,0,cardiac failure therapy
24503,8B29,0,cardiac failure therapy
24503,8B29.00,0,cardiac failure therapy
105542,8CeC,0,preferred place of care for next exacerbation heart failure
105542,8CeC.,0,preferred place of care for next exacerbation heart failure
105542,8CeC.00,0,preferred place of care for next exacerbation heart failure
103732,8CMK,0,has heart failure management plan
103732,8CMK.,0,has heart failure management plan
103732,8CMK.00,0,has heart failure management plan
106008,8CMW8,0,heart failure clinical pathway
106008,8CMW800,0,heart failure clinical pathway
32898,8H2S,0,Admit heart failure emergency
32898,8H2S.,0,Admit heart failure emergency
32898,8H2S.00,0,Admit heart failure emergency
2062,9Or,0,Heart Failure
2062,9Or.,0,Heart Failure
2062,9Or..,0,Heart Failure
22262,G1yz1,0,Rheumatic left ventricular failure
22262,G1yz100,0,Rheumatic left ventricular failure
72668,G2101,0,malignant hypertensive heart disease with ccf
72668,G210100,0,malignant hypertensive heart disease with ccf
52127,G211100,0,benign hypertensive heart disease with ccf
62718,G21z100,0,hypertensive heart disease nos with ccf
21837,G232.00,0,hypertensive heart&renal dis wth (congestive) heart failure
57987,G234.00,0,Hyperten heart&renal dis+both(congestv)heart and renal fail
8464,G400.00,0,acute cor pulmonale
5695,G41z.11,0,chronic cor pulmonale
5141,G554000,0,congestive cardiomyopathy
68766,G554011,0,congestive obstructive cardiomyopathy
49844,G557100,0,beriberi heart disease
2062,G58,0,Heart failure
2062,G58.,0,Heart failure
2062,G58..,0,Heart failure
2062,G58..00,0,Heart failure
1223,G58..11,0,Cardiac failure
2062,G580,0,Heart failure
2062,G580.,0,Heart failure
2062,G5800,0,Heart failure
32671,G5801,0,Chroncongestive heart failure
27884,G5802,0,Decompensated cardiac failure
11424,G5803,0,Compensated cardiac failure
94870,G5804,0,Cong heart fail due valv dis
398,G580.00,0,Congestive heart failure
2906,G580.11,0,Congestive cardiac failure
10079,G580.12,0,Right heart failure
10154,G580.13,0,Right ventricular failure
9524,G580.14,0,Biventricular failure
23707,G580000,0,Acute congestive heart failure
32671,G580100,0,Chronic congestive heart failure
27884,G580200,0,Decompensated cardiac failure
11424,G580300,0,Compensated cardiac failure
94870,G580400,0,Congestive heart failure due to valvular disease
2062,G581,0,Heart failure
2062,G581.,0,Heart failure
884,G581.00,0,Left ventricular failure
5255,G5810,0,Acute left ventricular failure
5942,G581.13,0,Impaired left ventricular function
5255,G581000,0,Acute left ventricular failure
27964,G582.00,0,Acute heart failure
101138,G583.,0,Heart failure with normal ejection fraction
101138,G583,0,Heart failure with normal ejection fraction
101138,G583.00,0,Heart failure with normal ejection fraction
101137,G583.11,0,HFNEF - heart failure with normal ejection fraction
106897,G583.12,0,Heart failure with preserved ejection fraction
10154,G584,0,Right ventricular failure
10154,G584.,0,Right ventricular failure
10154,G584.00,0,Right ventricular failure
4024,G58z,0,Heart failure NOS
4024,G58z.,0,Heart failure NOS
4024,G58z.00,0,Heart failure NOS
17278,G58z.12,0,Cardiac failure NOS
96799,G5y4z,0,post cardiac operation heart failure nos
96799,G5y4z00,0,post cardiac operation heart failure nos
8966,G5yy9,0,Left ventricular systolic dysfunction
8966,G5yy900,0,Left ventricular systolic dysfunction
107397,G5yyD,0,Left ventricular cardiac dysfunction
107397,G5yyD00,0,Left ventricular cardiac dysfunction
10154,G5yyE,0,Right ventricular systolic dysfunction
10154,G5yyE00,0,Right ventricular systolic dysfunction
20324,R2y10,0,[d]cardiorespiratory failure
20324,R2y1000,0,[d]cardiorespiratory failure
66306,SP111,0,heart insuff. as a complication of care
66306,SP11111,0,heart failure as a complication of care
26242,ZRad.00,0,new york heart assoc classification heart failure symptoms
