LSOA,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived),Percentile,Decile,IMD_Decile2010
E01021988,87.8,1,0.003078628,0.000307863,1
E01013139,84.22,2,0.006157256,0.000615726,1
E01012673,83.33,3,0.009235884,0.000923588,1
E01006559,83.09,4,0.012314513,0.001231451,1
E01012721,82.68,5,0.015393141,0.001539314,1
E01006755,82,6,0.018471769,0.001847177,1
E01024908,81.76,7,0.021550397,0.00215504,1
E01012678,81.64,8,0.024629025,0.002462903,1
E01005484,81.59,9,0.027707653,0.002770765,1
E01005204,81.58,10,0.030786282,0.003078628,1
E01012875,81.54,11,0.03386491,0.003386491,1
E01006560,81.48,12,0.036943538,0.003694354,1
E01006777,81.42,13,0.040022166,0.004002217,1
E01010617,81.07,14,0.043100794,0.004310079,1
E01013138,80.73,15,0.046179422,0.004617942,1
E01013137,80.57,16,0.049258051,0.004925805,1
E01012114,80.51,17,0.052336679,0.005233668,1
E01006442,80.29,18,0.055415307,0.005541531,1
E01005466,80.29,19,0.058493935,0.005849394,1
E01006561,80.17,20,0.061572563,0.006157256,1
E01024858,80.09,21,0.064651191,0.006465119,1
E01024676,80.01,22,0.06772982,0.006772982,1
E01012681,79.96,23,0.070808448,0.007080845,1
E01007122,79.87,24,0.073887076,0.007388708,1
E01009365,79.73,25,0.076965704,0.00769657,1
E01005655,79.65,26,0.080044332,0.008004433,1
E01012671,79.62,27,0.08312296,0.008312296,1
E01006778,79.57,28,0.086201589,0.008620159,1
E01006704,79.56,29,0.089280217,0.008928022,1
E01012041,79.34,30,0.092358845,0.009235884,1
E01012070,79.06,31,0.095437473,0.009543747,1
E01024906,79.02,32,0.098516101,0.00985161,1
E01024657,78.94,33,0.101594729,0.010159473,1
E01012720,78.85,34,0.104673358,0.010467336,1
E01012682,78.64,35,0.107751986,0.010775199,1
E01009585,78.43,36,0.110830614,0.011083061,1
E01012672,78.4,37,0.113909242,0.011390924,1
E01008836,78.35,38,0.11698787,0.011698787,1
E01006647,78.05,39,0.120066498,0.01200665,1
E01006445,77.93,40,0.123145127,0.012314513,1
E01012683,77.68,41,0.126223755,0.012622375,1
E01006563,77.62,42,0.129302383,0.012930238,1
E01006703,77.5,43,0.132381011,0.013238101,1
E01006874,77.47,44,0.135459639,0.013545964,1
E01006646,77.41,45,0.138538267,0.013853827,1
E01009488,77.37,46,0.141616896,0.01416169,1
E01004821,77.29,47,0.144695524,0.014469552,1
E01006467,77.23,48,0.147774152,0.014777415,1
E01006562,77.2,49,0.15085278,0.015085278,1
E01028276,77.12,50,0.153931408,0.015393141,1
E01006679,77.1,51,0.157010036,0.015701004,1
E01005350,77.06,52,0.160088664,0.016008866,1
E01006468,77.06,53,0.163167293,0.016316729,1
E01012069,76.87,54,0.166245921,0.016624592,1
E01006540,76.86,55,0.169324549,0.016932455,1
E01006469,76.84,56,0.172403177,0.017240318,1
E01006732,76.79,57,0.175481805,0.017548181,1
E01012737,76.76,58,0.178560433,0.017856043,1
E01005568,76.74,59,0.181639062,0.018163906,1
E01024877,76.74,60,0.18471769,0.018471769,1
E01012674,76.69,61,0.187796318,0.018779632,1
E01006417,76.62,62,0.190874946,0.019087495,1
E01006699,76.45,63,0.193953574,0.019395357,1
E01005228,76.31,64,0.197032202,0.01970322,1
E01010730,76.3,65,0.200110831,0.020011083,1
E01006558,76.16,66,0.203189459,0.020318946,1
E01005067,76.09,67,0.206268087,0.020626809,1
E01012655,75.9,68,0.209346715,0.020934672,1
E01013136,75.69,69,0.212425343,0.021242534,1
E01006779,75.68,70,0.215503971,0.021550397,1
E01005658,75.66,71,0.2185826,0.02185826,1
E01006677,75.51,72,0.221661228,0.022166123,1
E01005482,75.48,73,0.224739856,0.022473986,1
E01012170,75.43,74,0.227818484,0.022781848,1
E01012890,75.25,75,0.230897112,0.023089711,1
E01008011,75.23,76,0.23397574,0.023397574,1
E01012879,75.16,77,0.237054369,0.023705437,1
E01012855,75.09,78,0.240132997,0.0240133,1
E01025286,75.04,79,0.243211625,0.024321162,1
E01010819,75.01,80,0.246290253,0.024629025,1
E01024678,74.93,81,0.249368881,0.024936888,1
E01010739,74.92,82,0.252447509,0.025244751,1
E01012724,74.92,83,0.255526138,0.025552614,1
E01006740,74.9,84,0.258604766,0.025860477,1
E01012028,74.88,85,0.261683394,0.026168339,1
E01012897,74.83,86,0.264762022,0.026476202,1
E01008380,74.8,87,0.26784065,0.026784065,1
E01012891,74.72,88,0.270919278,0.027091928,1
E01006599,74.69,89,0.273997907,0.027399791,1
E01007132,74.68,90,0.277076535,0.027707653,1
E01009358,74.6,91,0.280155163,0.028015516,1
E01010371,74.48,92,0.283233791,0.028323379,1
E01012266,74.48,93,0.286312419,0.028631242,1
E01012169,74.38,94,0.289391047,0.028939105,1
E01006448,74.38,95,0.292469676,0.029246968,1
E01005261,74.35,96,0.295548304,0.02955483,1
E01013818,74.35,97,0.298626932,0.029862693,1
E01006676,74.33,98,0.30170556,0.030170556,1
E01015842,74.2,99,0.304784188,0.030478419,1
E01013726,74.15,100,0.307862816,0.030786282,1
E01025218,74.15,101,0.310941444,0.031094144,1
E01020909,74.08,102,0.314020073,0.031402007,1
E01005257,74.04,103,0.317098701,0.03170987,1
E01010456,73.98,104,0.320177329,0.032017733,1
E01010823,73.94,105,0.323255957,0.032325596,1
