Medcode,ReadCode,Value,Rubric
68734,4Q2B.00,1,terminal pro-brain natriuretic peptide level
68734,4Q2B.,1,terminal pro-brain natriuretic peptide level
68734,4Q2B,1,terminal pro-brain natriuretic peptide level
27097,44AV.,S,Serum N-terminal pro B-type natriuretic peptide conc
14040,44AW.,P,Plasma N-terminal pro B-type natriuretic peptide conc
27097,44AV.00,S,Serum N-terminal pro B-type natriuretic peptide conc
14040,44AW.00,P,Plasma N-terminal pro B-type natriuretic peptide conc
27097,44AV,S,Serum N-terminal pro B-type natriuretic peptide conc
14040,44AW,P,Plasma N-terminal pro B-type natriuretic peptide conc

