To check,CodeUnits,DESCRIPTION,EXTRA,TABLETS_PER_DAY,DAILY_DOSE,ALT_OTHER_MEDS,REP,REP2,THEN,DAYS,NUM2,DOSE2
,,,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,0.5MG/2.5MLS IN THE MORNING,05mg25mlsinthemorning,0,NA,0.5,NA,NA,NA,NA,NA,NA,NA
,0.5MG DAILY,05mgdaily,0,NA,0.5,NA,NA,NA,NA,NA,NA,NA
,0.5 TABLET DAILY,05tabletdaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,0.5 TABLET ONCE DAILY,05tabletoncedaily,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,0D,0d,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,100MG DAILY FOR 5 DAYS (TO COMPLETE FULL 14 DAY COURSE FOR CAP),100mgdailyfor5daystocompletefull14daycourseforcap,0,NA,100,NA,NA,NA,NA,NA,NA,NA
,10 -20 ML UP TO THREE TIMES A DAY,1020mlupto3timesaday,0,12,12,NA,NA,NA,NA,NA,NA,NA
,10 THREE TIMES A DAY WITH FOOD,103timesadaywithfood,0,6,6,NA,NA,NA,NA,NA,NA,NA
,1 0d,10d,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,10D,10d,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 0D,10d,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 0D IN THE MORNING,10dinthemorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 0M,10m,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,10mg (one tablet) to be taken weekly,10mg1tablettobetakenweekly,0,0.14,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG (ONE TABLET) TO BE TAKEN WEEKLY,10mg1tablettobetakenweekly,0,0.14,1.43,NA,NA,NA,NA,NA,NA,NA
,10 mg  (one tablet) to be taken WEEKLY,10mg1tablettobetakenweekly,0,0.14,1.43,NA,NA,NA,NA,NA,NA,NA
,10 mg  (one tablet) to be taken WEEKLY  Notes for patient: Note for attention of patient  ,10mg1tablettobetakenweeklynotesforpatientnoteforattentionofpatient,0,0.14,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (one tablet) to be taken weekly Notes for patient: start at 12.5 mg weekly for 2 week,10mg1tablettobetakenweeklynotesforpatientstartat125mgweeklyfor2week,0,0.18,1.79,NA,NA,NA,1,14,0.14,1.43
,10mg ( 2 tablets ) to be taken weekly,10mg2tabletstobetakenweekly,0,0.29,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (two  tablet) to be taken weekly Notes for patient: start at 12.5 mg weekly for 2 wee,10mg2tablettobetakenweeklynotesforpatientstartat125mgweeklyfor2wee,0,0.36,1.79,NA,NA,NA,1,14,0.29,1.43
,10mg (four 2.5mg tablets) to be taken weekly,10mg425mgtabletstobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG (FOUR 2.5MG TABLETS) TO BE TAKEN WEEKLY,10mg425mgtabletstobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10 mg ( 4 tablet ) a week,10mg4tabletaweek,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10 MG ( 4 TABLET ) A WEEK,10mg4tabletaweek,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG (FOUR TABLETS) TO BE TAKEN ONCE A WEEK ON A WEDNESDAY,10mg4tabletstobetakenonceaweekonawednesday,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG (FOUR TABLETS) TO BE TAKEN ONCE A WEEK ON A WEDNESDAY  Notes for dispenser: Please d,10mg4tabletstobetakenonceaweekonawednesdaynotesfordispenserpleased,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (four tablets) to be taken once weekly,10mg4tabletstobetakenonceweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg  (four tablets to be taken  once weekly,10mg4tabletstobetakenonceweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (4 tablets) to be taken once weekly,10mg4tabletstobetakenonceweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (4 tablets) to be taken on same day per week,10mg4tabletstobetakenonsamedayperweek,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG (4 TABLETS) TO BE TAKEN ON SAME DAY PER WEEK,10mg4tabletstobetakenonsamedayperweek,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,"10 mg , 4 tablets to be taken on Tuesdays",10mg4tabletstobetakenontuesdays,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (four tablets) to be taken weekly,10mg4tabletstobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10 mg (four tablets) to be taken WEEKLY,10mg4tabletstobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG (FOUR TABLETS) TO BE TAKEN WEEKLY,10mg4tabletstobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (FOUR tablets) to be taken WEEKLY,10mg4tabletstobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg ( 4 tablets ) to be taken weekly,10mg4tabletstobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg [4 tablets] to be taken weekly for arthritis,10mg4tabletstobetakenweeklyforarthritis,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10 mg (four tablets) to be taken WEEKLY (FRIDAYS),10mg4tabletstobetakenweeklyfridays,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (four tablets) to be taken weekly on a Friday,10mg4tabletstobetakenweeklyonafriday,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10 mg (four tablets) to be taken WEEKLY on the same day each week  Notes for patient: plea,10mg4tabletstobetakenweeklyonthesamedayeachweeknotesforpatientplea,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (four tablets) to be taken weekly on Wednesday,10mg4tabletstobetakenweeklyonwednesday,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (four tablets) to be taken weekly on wednesdays for RA,10mg4tabletstobetakenweeklyonwednesdaysforra,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG (FOUR TABLET) TO BE TAKEN WEEKLY,10mg4tablettobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (four tablet) to be taken weekly,10mg4tablettobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10 mg( four tablet) to be taken weekly  Notes for patient: please as per the specialist  n,10mg4tablettobetakenweeklynotesforpatientpleaseasperthespecialistn,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg (4 tabs ) weekly,10mg4tabsweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG DAILY,10mgdaily,0,NA,10,NA,NA,NA,NA,NA,NA,NA
,10mg [ie 4x2.5 mg tablets ]weekly   Notes for patient: note change in dose,10mgie4x25mgtabletsweeklynotesforpatientnotechangeindose,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG [IE 4X2.5 MG TABLETS ]WEEKLY   Notes for patient: note change in dose,10mgie4x25mgtabletsweeklynotesforpatientnotechangeindose,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mgs (four tablets) to be taken weekly,10mgs4tabletstobetakenweekly,0,0.57,1.43,NA,NA,NA,NA,NA,NA,NA
,10mg weekly,10mgweekly,0,NA,1.43,NA,NA,NA,NA,NA,NA,NA
,10MG WEEKLY,10mgweekly,0,NA,1.43,NA,NA,NA,NA,NA,NA,NA
,10ML THREE TIMES A DAY,10ml3timesaday,0,6,6,NA,NA,NA,NA,NA,NA,NA
,10ML THREE TIMES DAILY,10ml3timesdaily,0,6,6,NA,NA,NA,NA,NA,NA,NA
,10ML THREE TIMES DAILY WHEN REQUIRED FOR FOR PAIN,10ml3timesdailywhenrequiredforforpain,0,6,6,NA,NA,NA,NA,NA,NA,NA
,10ML FOUR TIMES A DAY FOR GOUT,10ml4timesadayforgout,0,8,8,NA,NA,NA,NA,NA,NA,NA
,10ML AT NIGHT,10mlatnight,0,2,2,NA,NA,NA,NA,NA,NA,NA
,10 ml bd,10mlbd,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10ML EVERY DAY,10mleveryday,0,2,2,NA,NA,NA,NA,NA,NA,NA
,10 ML EVERY DAY,10mleveryday,0,2,2,NA,NA,NA,NA,NA,NA,NA
,10ML IN MORNING,10mlinmorning,0,2,2,NA,NA,NA,NA,NA,NA,NA
,10ML IN MORNING &  5ML AT NOON,10mlinmorning5mlatnoon,0,3,3,NA,NA,NA,NA,NA,NA,NA
,10ML NOCTE,10mlnocte,0,2,2,NA,NA,NA,NA,NA,NA,NA
,10ML ONCE DAILY,10mloncedaily,0,2,2,NA,NA,NA,NA,NA,NA,NA
,10ML ONCE DAILY MORNING 5 ML AT NOON,10mloncedailymorning5mlatnoon,0,3,3,NA,NA,NA,NA,NA,NA,NA
,10 ML PO EVERY DAY FOR 1 WEEK THEN 5 ML PO EVERY DAY THEN STOP,10mlpoeverydayfor1weekthen5mlpoeverydaythenstop,0,2,2,NA,NA,NA,1,7,1,1
,10MLS THREE TIMES A DAY,10mls3timesaday,0,6,6,NA,NA,NA,NA,NA,NA,NA
,10 MLS AT 8 AM AND 2 PM,10mlsat8amand2pm,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10MLS BD,10mlsbd,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10MLSBD,10mlsbd,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10MLS EVERY 6 HRS AS NECESSARY,10mlsevery6hrsasnecessary,0,8,8,NA,NA,NA,NA,NA,NA,NA
,10MLS IN THE MORNING,10mlsinthemorning,0,2,2,NA,NA,NA,NA,NA,NA,NA
,10MLS TWICE A DAY,10mlstwiceaday,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10MLS TWICE A DAY FOR 2 WEEKS,10mlstwiceadayfor2weeks,0,4,4,NA,NA,NA,NA,14,NA,NA
,10MLS TWICE A DAY FOR 3 DAYS,10mlstwiceadayfor3days,0,4,4,NA,NA,NA,NA,3,NA,NA
,10 MLS TWICE DAILY,10mlstwicedaily,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10 ML TWICE A DAY,10mltwiceaday,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10ML  TWICE A DAY,10mltwiceaday,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10ML TWICE A DAY,10mltwiceaday,0,4,4,NA,NA,NA,NA,NA,NA,NA
,10ML TWICE A DAY VIA PEG  Notes for patient: Please could you obtained a catheter specimen,10mltwiceadayviapegnotesforpatientpleasecouldyouobtainedacatheterspecimen,0,4,4,NA,NA,NA,NA,NA,NA,NA
,"10 ml twice daily , morning and at 2pm",10mltwicedailymorningandat2pm,0,4,4,NA,NA,NA,NA,NA,NA,NA
,01-Feb,12,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1/2 0D,120d,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,120MG,120mg,0,NA,120,NA,NA,NA,NA,NA,NA,NA
,120mg bd,120mgbd,0,2,240,NA,NA,NA,NA,NA,NA,NA
,120MG DAILY AS PER RENAL CLINIC,120mgdailyasperrenalclinic,0,NA,120,NA,NA,NA,NA,NA,NA,NA
,120MG MORNING AND 80MG LUNCH TIME AS PER RENAL CLINICDATED 3/5/16,120mgmorningand80mglunchtimeasperrenalclinicdated3516,0,NA,200,NA,NA,NA,NA,NA,NA,NA
,1/2 (12.5MG)  TABLET ONCE DAILY,12125mgtabletoncedaily,0,0.5,12.5,NA,NA,NA,NA,NA,NA,NA
,1-2 THREE TIMES A DAY,123timesaday,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 THREE TIMES A DAY AFTER FOOD,123timesadayafterfood,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 THREE TIMES A DAY WHEN REQUIRED,123timesadaywhenrequired,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,1-2 THREE TIMES A DAY WHEN REQUIRED FOR FOR PAIN,123timesadaywhenrequiredforforpain,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE2-3 X WEEK PRN,123xweekprn,0,0.42,NA,NA,NA,NA,NA,NA,NA,NA
