Medcode,ReadCode,Value,Rubric
2997,7B00,1,Transplantation of kidney
2997,7B00.,1,Transplantation of kidney
2997,7B00.00,1,Transplantation of kidney
55151,7B000,1,Autotransplant of kidney
55151,7B00000,1,Autotransplant of kidney
11745,7B001,1,Live donor kidney transplant
11745,7B00100,1,Transplantation of kidney from live donor
66705,7B00111,1,Allotransplantation of kidney from live donor
105328,7B002,1,Cadaver donor kidney transplnt
24361,7B00200,1,Transplantation of kidney from cadaver
98364,7B00211,1,Allotransplantation of kidney from cadaver
105328,7B00212,1,Cadaveric renal transplant
96133,7B003,1,"Allotra kidney cad, heart-beat"
89924,7B00300,1,"Allotransplantation of kidney from cadaver, heart-beating"
96133,7B004,1,"Allot kid cad, heart non-beat"
96133,7B00400,1,"Allotransplantation kidney from cadaver, heart non-beating"
96133,7B005,1,Allotranspl kidney cadaver NEC
109455,7B00500,1,Allotransplantation of kidney from cadaver NEC
105787,7B006,1,Xenograft renal transplant
105787,7B00600,1,Xenograft renal transplant
5504,7B00y,1,Transplantation of kidney OS
70874,7B00y00,1,Other specified transplantation of kidney
5504,7B00z,1,Transplantation of kidney NOS
5504,7B00z00,1,Transplantation of kidney NOS
2997,HNG0111,1,Transplantation of kidney
54990,SP083,1,Kidney transplant fail+rejectn
106301,SP08a,1,Thromb vein transplantd kidney
104201,SP08C,1,Accel reject renal transplant
104905,SP08D,1,Acute-on-chr rejec ren transp
104905,SP08D00,1,Acute-on-chronic rejection of renal transplant
104201,SP08E,1,Acut reject renal trans grad I
104960,SP08E00,1,Acute rejection of renal transplant - grade I
104201,SP08F,1,Acu reject renal trans grad II
107000,SP08F00,1,Acute rejection of renal transplant - grade II
104201,SP08G,1,Acu reject rena trans grad III
104630,SP08G00,1,Acute rejection of renal transplant - grade III
104201,SP08H,1,Acute reject renal transplant
104201,SP08H00,1,Acute rejection of renal transplant
106620,SP08J,1,"Chr rejection, renal transp"
106620,SP08J00,1,Chronic rejection of renal transplant
106620,SP08K,1,"Chr rejec, renal transp-gde 1"
106620,SP08L,1,"Chr rejec, renal transp-gde II"
106620,SP08M,1,"Chr rejec, ren transp-gde III"
105724,SP08N,1,Unexplaind renal trans dysfunc
105724,SP08N00,1,Unexplained episode of renal transplant dysfunction
106301,SP08P,1,Stenos vein transplantd kidney
106301,SP08P00,1,Stenosis of vein of transplanted kidney
106301,SP08Q,1,Aneurysm arty transplntd kdny
105811,SP08R,1,Renal transplant rejection
107752,SP08T00,1,Urological complication of renal transplant
105811,SP08R00,1,Renal transplant rejection
106301,SP08S,1,Aneurysm vein transplantd kdny
107752,SP08T,1,Urological complicatn renal Tx
107752,SP08T00,1,Urological complication of renal transplant
105787,SP08V.,1,"V mild acute rejec, ren transp"
105787,SP08V,1,"V mild acute rejec, ren transp"
108437,SP08V00,1,Very mild acute rejection of renal transplant
106866,SP08W.,1,Vasc complictn renal transplnt
106866,SP08W,1,Vasc complictn renal transplnt
106866,SP08W00,1,Vascular complication of renal transplant
106866,SP08W00.,1,Vascular complication of renal transplant
106301,SP08X.,1,Rupt artry transplanted kidney
106301,SP08X,1,Rupt artry transplanted kidney
106301,SP08Y.,1,Ruptu vein transplanted kidney
106301,SP08Y,1,Ruptu vein transplanted kidney
106301,SP08Z.,1,Thromb artery trnsplntd kidney
106301,SP08Z,1,Thromb artery trnsplntd kidney
54990,TB001.,1,Kidney transplant+complication
54990,TB001,1,Kidney transplant+complication
54990,TB00100,1,"Kidney transplant with complication, without blame"
18774,TB00111,1,"Renal transplant with complication, without blame"
69760,Y30ee,1,Renal transplant
69760,Y30ef,1,Transplantation of kidney
69760,Y30eg,1,Tx - Renal transplantation
69760,Y30eh,1,Tx - Kidney transplantation
69760,Y30ej,1,Transplantation of kidney NOS
69760,Y30ek,1,Transplantation of kidney OS
69760,Y30el,1,Cadaveric renal transplant
69760,Y30em,1,Allotransplant kidney cadaver
69760,Y30en,1,Cadaver donor kidney transplant
69760,Y30eo,1,Cadaver renal allotransplant
69760,Y30ep,1,Cadaver renal allograft
69760,Y30eq,1,Live donor renal transplant
69760,Y30er,1,Allotransplant kidney live donor
69760,Y30es,1,Live donor kidney transplant
69760,Y30et,1,Live donor renal allotransplant
69760,Y30eu,1,Live donor renal allograft
69760,Y30ev,1,Xenograft renal transplant
69760,Y30ew,1,Autotransplantation of kidney
69760,Y30ex,1,Autotransplant of kidney
69760,Y30ej.,1,Transplantation of kidney NOS
69760,Y30ek.,1,Transplantation of kidney OS
69760,Y30el.,1,Cadaveric renal transplant
69760,Y30em.,1,Allotransplant kidney cadaver
69760,Y30en.,1,Cadaver donor kidney transplant
69760,Y30eo.,1,Cadaver renal allotransplant
69760,Y30ep.,1,Cadaver renal allograft
69760,Y30eq.,1,Live donor renal transplant
69760,Y30er.,1,Allotransplant kidney live donor
69760,Y30es.,1,Live donor kidney transplant
69760,Y30et.,1,Live donor renal allotransplant
69760,Y30eu.,1,Live donor renal allograft
69760,Y30ev.,1,Xenograft renal transplant
69760,Y30ew.,1,Autotransplantation of kidney
69760,Z94.0,1,Kidney transplant
69760,ZV42000,1,Kidney transplant
69760,ZV4200,1,Kidney transplant
106301,SP08P00,1,Stenosis of vein of transplanted kidney
103429,7B0F3001,Post-transplantation of kidney examination, recipient
70874,7B00y00,1,Other specified transplantation of kidney
93366,7B0F.00,1,Interventions associated with transplantation of kidney
93366,7B0F.,1,Interventions associated with transplantation of kidney
104049,7B0Fz00,1,Interventions associated with transplantation of kidney NOS
5911,ZV42000,1,[V]Kidney transplanted
11553,SP08300,1,Kidney transplant failure and rejection
